Address,Price,Property Type,Bedrooms,Bathrooms,Size
"Commodore House, Royal Wharf, E16","£850,000",Apartment,3.0,2.0,Ask agent
"Tatnell Road, Honor Oak","£850,000",Semi-Detached,3.0,1.0,Ask agent
"Marylebone Road, London, NW1","£850,000",Apartment,2.0,2.0,732 sq ft
"Boss Street, Shad Thames","£850,000",Flat,2.0,2.0,Ask agent
"College Crescent, Swiss Cottage, NW3","£850,000",Apartment,3.0,2.0,"1,241 sq ft"
"Queensborough Mews, Bayswater","£850,000",Flat,3.0,2.0,Ask agent
"Grafton Road,Acton, London","£850,000",Flat,3.0,2.0,Ask agent
"Rodney Court, 6-8 Maida Vale, London, W9","£850,000",Apartment,2.0,2.0,"1,012 sq ft"
"University Mansions, Lower Richmond Road, Putney","£850,000",Apartment,3.0,1.0,938 sq ft
"Heights Close, London, SW20","£850,000",Terraced,3.0,2.0,Ask agent
"Longfield Avenue, Ealing, W5","£850,000",Apartment,2.0,2.0,878 sq ft
"Farmleigh, Southgate, N14","£850,000",Detached,3.0,2.0,Ask agent
"Mill Street, London","£850,000",Flat,2.0,2.0,"1,108 sq ft"
"Riversdale Road, Highbury, London, N5","£850,000",Apartment,2.0,2.0,861 sq ft
"Weston Street, London Bridge, SE1","£850,000",Apartment,2.0,2.0,887 sq ft
"Coppermill Lane, Walthamstow","£850,000",Terraced,3.0,2.0,Ask agent
"Willow Lodge, 
River Gardens, SW6","£850,000",Flat,2.0,2.0,Ask agent
"Royal Crescent, London, W11","£850,000",Apartment,1.0,1.0,547 sq ft
"Albion Riverside, Battersea,SW11","£850,000",Apartment,2.0,2.0,883 sq ft
"Queen Annes Grove, Enfield, EN1","£850,000",Semi-Detached,4.0,2.0,"1,595 sq ft"
"Hampton Road, London, E4","£850,000",End of Terrace,4.0,2.0,Ask agent
"Oakfield Gardens, London","£850,000",Semi-Detached,7.0,5.0,"2,206 sq ft"
Lombard Wharf SW11,"£850,000",Apartment,2.0,1.0,771 sq ft
"Alder Lodge, 73 Stevenage Road, London, SW6","£850,000",Flat,3.0,2.0,"1,215 sq ft"
"Barrowgate Road, 
Chiswick, W4","£850,000",Flat,3.0,3.0,"1,131 sq ft"
"Earlshall Road, Eltham SE9","£850,000",End of Terrace,4.0,2.0,"1,399 sq ft"
"Goodrich Road, East Dulwich","£850,000",Flat,3.0,2.0,Ask agent
"New Wanstead, London, E11","£850,000",End of Terrace,3.0,2.0,"1,184 sq ft"
"Cromwell Road, South Kensington, London, SW7","£850,000",Apartment,3.0,2.0,721 sq ft
"Cutter Lane, London, SE10","£850,000",Flat,2.0,2.0,979 sq ft
"Stafford Street, Mayfair, London W1","£850,000",Flat,1.0,1.0,550 sq ft
"Horn Lane, Acton, London, W3","£850,000",House,5.0,2.0,"1,579 sq ft"
"Crawford Building, 112 Whitechapel High Street, London, E1","£850,000",Apartment,2.0,2.0,794 sq ft
"Bellamy Street, London, SW12","£850,000",Maisonette,2.0,,993 sq ft
"Mayall Road, Herne Hill","£850,000",End of Terrace,3.0,1.0,"1,120 sq ft"
"Hunsdon Road, New Cross","£850,000",Terraced,3.0,1.0,Ask agent
"Print Makers, 
20A Crimscott Street, SE1","£850,000",Flat,2.0,2.0,841 sq ft
"Culford Mews, Islington, London, N1","£850,000",End of Terrace,2.0,2.0,841 sq ft
"New Wharf Road, King's Cross","£850,000",Flat,2.0,1.0,Ask agent
"Hebden Place, Nine Elms, SW8","£850,000",Apartment,2.0,2.0,963 sq ft
"Finchley Road, St John's Wood, London, NW8","£850,000",Flat,3.0,2.0,806 sq ft
"Fabrik East Building, 
9-15 Helmsley Place, E8","£850,000",Flat,2.0,2.0,"1,066 sq ft"
"Kensington Park Road, London, UK, W11","£850,000",Apartment,1.0,1.0,614 sq ft
"Sunlight Square, London E2","£850,000",Ground Flat,2.0,1.0,"1,302 sq ft"
"St. John's Hill, London, SW11","£850,000",Apartment,2.0,2.0,"1,013 sq ft"
"Romney House, 47 Marsham Street, Westminster, London SW1P","£850,000",Flat,2.0,2.0,701 sq ft
"Podium House, 
Kidbrooke Village, SE3","£850,000",House,3.0,3.0,"1,216 sq ft"
"Clove Hitch Quay, London, SW11","£850,000",Apartment,2.0,2.0,"1,138 sq ft"
"Keybridge Lofts, Vauxhall, London, SW8","£850,000",Apartment,1.0,2.0,Ask agent
"Court Way, London","£850,000",Terraced,3.0,1.0,Ask agent
"Boss House, 2 Boss Street, London, SE1","£850,000",Apartment,2.0,2.0,"1,037 sq ft"
"Cambridge Close, West Wimbledon, SW20","£850,000",House,3.0,1.0,Ask agent
"Creighton Avenue, London","£850,000",Flat,3.0,1.0,Ask agent
"Celtic Street, London","£850,000",Terraced,5.0,6.0,"1,400 sq ft"
"St. Gabriel Walk, Elephant and Castle, SE1","£850,000",Flat,2.0,2.0,799 sq ft
"Westwood Hill, Crystal Palace, London, SE26","£850,000",End of Terrace,3.0,2.0,"1,018 sq ft"
"Church Street, Old Isleworth, TW7","£850,000",Terraced,4.0,2.0,"1,311 sq ft"
"Causton Street, Westminster","£850,000",Flat,3.0,1.0,Ask agent
"Cambridge Court, Sussex Gardens, Paddington, W2","£850,000",Flat,2.0,2.0,Ask agent
"Elverton Street, Westminster, London, SW1P","£850,000",Flat,3.0,1.0,888 sq ft
"Romney House, Westminster, London, SW1P","£850,000",Flat,2.0,2.0,701 sq ft
"Imperial Road, Alexandra Park","£850,000",End of Terrace,3.0,3.0,Ask agent
"Elsham Road, Notting Hill","£850,000",Flat,2.0,2.0,Ask agent
"Furness Road, London, SW6","£850,000",Maisonette,2.0,1.0,Ask agent
"Davenport Road, Hither Green","£850,000",Terraced,4.0,1.0,Ask agent
"Bluewater House, Riverside West","£850,000",Apartment,2.0,2.0,"1,277 sq ft"
"Paddington, London, W2","£850,000",Flat,2.0,1.0,950 sq ft
"Podium House, Kidbrooke Village SE3","£850,000",House,3.0,3.0,"1,224 sq ft"
"Wandsworth Common West Side, London","£850,000",Flat,4.0,2.0,Ask agent
"Hopefield Avenue, Queens Park","£850,000",Flat,2.0,2.0,Ask agent
"Stirling Court, Soho, London, W1F","£850,000",Flat,1.0,1.0,500 sq ft
"Greenham Road, London","£850,000",Flat,3.0,2.0,Ask agent
"Granita Court, Cross Lane, N8","£850,000",Flat,3.0,2.0,Ask agent
"Fladgate House, 4 Circus Road West, London, SW11","£850,000",Apartment,1.0,1.0,694 sq ft
"Popes Lane, London","£850,000",End of Terrace,3.0,1.0,Ask agent
"Graces Mews, Camberwell, London, SE5","£850,000",Mews,3.0,1.0,774 sq ft
"Radnor Place, Hyde Park, W2","£850,000",Apartment,2.0,2.0,761 sq ft
"1 Cynthia Street, , N1 9FU","£850,000",Apartment,1.0,1.0,604 sq ft
"Harpenden Road, West Norwood, SE27","£850,000",House,4.0,1.0,Ask agent
"Choumert Road, Peckham Rye","£850,000",Terraced,2.0,1.0,Ask agent
"Belsize Road, South Hampstead","£850,000",Apartment,3.0,2.0,Ask agent
"31 The Avenue, Wanstead, E11","£850,000",Apartment,2.0,2.0,"1,123 sq ft"
"Kenworthy Road, Hackney, E9","£850,000",Terraced,3.0,1.0,Ask agent
"Blantyre Walk:  Worlds End Estate, London, SW10","£849,000",Flat,3.0,1.0,Ask agent
"Adelaide Road, Hampstead, London, NW3","£850,000",Flat,5.0,2.0,"1,335 sq ft"
"Kirkwood Road, Peckham","£850,000",Terraced,3.0,1.0,Ask agent
"Ferrers Road, Streatham","£850,000",House,3.0,1.0,Ask agent
"Rodney Court, Maida Vale, London, W9","£850,000",Apartment,2.0,2.0,"1,030 sq ft"
"Byton Road, Tooting","£850,000",House,4.0,2.0,Ask agent
"Hampton Tower, 
75 Marsh Wall, E14","£850,000",Flat,2.0,1.0,886 sq ft
"Ryeland Boulevard, Wandsworth","£850,000",Flat,3.0,2.0,Ask agent
"Brampton Grove, London","£850,000",Flat,3.0,2.0,Ask agent
"Long Lane, London, N2","£850,000",End of Terrace,2.0,2.0,890 sq ft
"The Courthouse, Westminster, London, SW1P","£850,000",Flat,1.0,1.0,550 sq ft
"The Bourne, London, N14","£850,000",Detached,4.0,2.0,"1,647 sq ft"
"Palace View, 1 Lambeth High Street, Lambeth, SE1","£850,000",Apartment,1.0,1.0,565 sq ft
"Balnacraig Avenue, London, NW10","£850,000",Semi-Detached,6.0,2.0,Ask agent
"Higham House East, Carnwath Road, Fulham, SW6","£850,000",Apartment,2.0,2.0,888 sq ft
"Queensborough Mews, Hyde Park","£850,000",Flat,3.0,2.0,Ask agent
"Giles Coppice, Crystal Palace","£850,000",Terraced,3.0,1.0,Ask agent
"Lingwell Road, Tooting","£850,000",House,3.0,1.0,Ask agent
"St Gabriel Walk, Elephant and Castle, London, SE1","£850,000",Flat,2.0,2.0,817 sq ft
"2 Principal Place, Worship Street, London, Greater London, EC2A","£850,000",Flat,1.0,1.0,543 sq ft
"Girton House, Manor Fields, Putney","£850,000",Flat,3.0,1.0,"1,093 sq ft"
"Lonsdale Road, London, E11","£850,000",House,3.0,2.0,Ask agent
"Princes Square, Bayswater, W2","£850,000",Apartment,1.0,1.0,Ask agent
"Crimscott Street, London, SE1","£850,000",Flat,2.0,2.0,841 sq ft
"Gilmore House, Clapham Common North Side, Clapham Common North Side, London, SW4","£850,000",Flat,2.0,2.0,905 sq ft
"Grove Road, North Finchley, N12","£850,000",Terraced,4.0,2.0,Ask agent
"Glendower Place, London, SW7","£850,000",Flat,2.0,1.0,557 sq ft
"Leathwaite Road, Between the Commons, London, SW11","£850,000",Flat,2.0,1.0,926 sq ft
"Imperial Court, Kennington Lane, Vauxhall, Southwark, London, SE11","£850,000",Apartment,3.0,2.0,Ask agent
"Maida Vale, London, W9","£850,000",Flat,4.0,3.0,Ask agent
"Riverside Plaza, Chatfield Road, London, SW11","£850,000",Flat,2.0,2.0,960 sq ft
"Chronicle Tower, City Road","£850,000",Apartment,2.0,,Ask agent
"VENN STREET, SW4","£850,000",Flat,2.0,2.0,Ask agent
"Langside Avenue, 
Roehampton, SW15","£850,000",Flat,2.0,2.0,"1,200 sq ft"
"Bridge Way, Whitton","£850,000",Semi-Detached,4.0,,Ask agent
"Pinnacle House, Schooner Road, E16","£850,000",Apartment,3.0,2.0,Ask agent
"Riverlight Quay, London, SW11","£850,000",Apartment,2.0,2.0,778 sq ft
"The Footpath, Putney, SW15","£850,000",End of Terrace,3.0,2.0,926 sq ft
"The Haydon, 16 Minories, London","£850,000",Apartment,,1.0,479 sq ft
"Independent Place, Dalston, London, E8","£850,000",Maisonette,2.0,1.0,902 sq ft
"Westgate Terrace, London, SW10","£850,000",Apartment,2.0,2.0,Ask agent
"Ravenscourt Gardens, Ravenscourt","£850,000",Flat,2.0,2.0,Ask agent
"Westferry Road, Canary Wharf","£850,000",Flat,3.0,2.0,Ask agent
"Rossdale Drive, Kingsbury, London, NW9","£850,000",Semi-Detached,3.0,1.0,"1,304-1,305 sq ft"
"Maiden Lane, Covent Garden, London","£850,000",Apartment,1.0,1.0,Ask agent
"Fellows Road, Belsize Park, London, NW3","£850,000",Flat,2.0,2.0,765 sq ft
"Littlebury Road, Clapham","£850,000",Maisonette,3.0,2.0,Ask agent
"Lincoln Avenue, London","£850,000",Semi-Detached,3.0,1.0,"1,120 sq ft"
"Lichfield Grove, London, N3","£850,000",Terraced,4.0,1.0,"1,448 sq ft"
"Trinity Church Road, Barnes, SW13","£850,000",Flat,2.0,2.0,886 sq ft
"Westhorne Avenue, Lee, London, SE12","£850,000",Detached,4.0,1.0,Ask agent
"GOODWOOD COURT, DEVONSHIRE STREET, London, W1W","£850,000",Flat,1.0,1.0,463 sq ft
"Alder Grove, London, NW2","£850,000",Semi-Detached,4.0,3.0,"1,804 sq ft"
"Blackhorse Road, London, E17","£850,000",Semi-Detached,6.0,2.0,Ask agent
"Overhill Road,  East Dulwich, SE22","£850,000",Semi-Detached,3.0,1.0,969 sq ft
"Camden Road, Camden Town","£850,000",Flat,2.0,2.0,Ask agent
"Abbots House, Kensington, London W14","£850,000",Apartment,2.0,2.0,Ask agent
"Clanricarde Gardens, Notting Hill, London, W2","£850,000",Flat,1.0,1.0,630 sq ft
"Higham House West, Carnwath Road, Fulham, SW6","£850,000",Flat,2.0,2.0,888 sq ft
"The Jam Factory, Green Walk, London","£850,000",Flat,1.0,1.0,Ask agent
"Finborough Road, London, SW10","£850,000",Apartment,2.0,2.0,821 sq ft
"Vauxhall Bridge Road, London, SW1V","£850,000",Flat,2.0,2.0,792 sq ft
"Balliol House, 
Manor Fields, SW15","£850,000",Flat,3.0,1.0,Ask agent
"Higham House West, 102 Carnwath Road, London, SW6","£850,000",Apartment,2.0,2.0,898 sq ft
Cascade Way White City Living W12,"£850,000",Flat,1.0,1.0,Ask agent
"Haverstock Hill, London, NW3","£850,000",Apartment,2.0,1.0,853-912 sq ft
"Buckland Crescent, London","£850,000",Apartment,2.0,2.0,875 sq ft
"Annandale House, West Heath Avenue, NW11","£850,000",Flat,2.0,2.0,"1,220 sq ft"
"Battersea Church Rd, Battersea, London The Metropolis[8]","£850,000",Apartment,2.0,1.0,906 sq ft
"Osidge Lane, London","£850,000",End of Terrace,4.0,3.0,"1,887 sq ft"
"Colchester Road, Leyton, London, E10 6HB","£850,000",Terraced,4.0,3.0,"2,389 sq ft"
"Archway Mews, London, SW15","£850,000",House,3.0,3.0,"1,106 sq ft"
"Stable Street, London, N1C","£850,000",Flat,1.0,1.0,Ask agent
"Penrhyn Crescent, London, E17","£850,000",End of Terrace,4.0,3.0,Ask agent
"Brondesbury Villas, NW6","£850,000",Maisonette,3.0,2.0,990 sq ft
"Vernon Avenue, London, SW20","£850,000",Terraced,3.0,3.0,Ask agent
"Higham House West, Carnwath Road, Fulham, SW6","£850,000",Flat,2.0,2.0,827 sq ft
"Strathleven Road, Brixton","£850,000",Terraced,3.0,2.0,Ask agent
"Yale Court, Honeybourne Road, NW6","£850,000",Apartment,2.0,1.0,775 sq ft
"Cascades One, London, W12","£850,000",Flat,1.0,1.0,585-811 sq ft
"Beaufort Street, Chelsea","£850,000",Flat,3.0,2.0,Ask agent
"Cowper Road, Acton","£850,000",Terraced,3.0,1.0,Ask agent
"Stourcliffe Street, W1H","£850,000",Apartment,2.0,2.0,689 sq ft
"Fords Grove, Winchmore Hill, N21","£850,000",Semi-Detached,3.0,2.0,"1,641 sq ft"
"Luna House, 37 Bermondsey Wall West, London, SE16","£850,000",Apartment,2.0,2.0,941 sq ft
"Gledhow Gardens, London, SW5","£850,000",Apartment,1.0,1.0,590 sq ft
"Sky Gardens,, Wandsworth Road,, Vauxhall,, London, SW8","£850,000",Apartment,2.0,2.0,Ask agent
"Bronsart Road, 
Munster Village, SW6","£850,000",Flat,3.0,1.0,Ask agent
"Abbott Avenue, Raynes Park","£850,000",Terraced,3.0,1.0,981 sq ft
"Corsehill Street, London","£850,000",Terraced,5.0,2.0,Ask agent
"Mellison Road, London, SW17","£850,000",Terraced,3.0,2.0,"1,292 sq ft"
"Coolhurst Road, LONDON, N8","£850,000",Flat,2.0,2.0,877 sq ft
"Cobham Close,  Battersea, London SW11","£850,000",Terraced,3.0,1.0,868 sq ft
"Chelmsford Road, London, E18","£850,000",Terraced,4.0,2.0,Ask agent
"Lisson Grove, London, NW1","£850,000",Flat,2.0,2.0,Ask agent
"Canada Wharf, 255 Rotherhithe Street, London, SE16","£850,000",Penthouse,2.0,1.0,Ask agent
"Callow Street, SW3","£850,000",Flat,1.0,1.0,719 sq ft
"Maida Vale, Maida Vale","£850,000",Flat,2.0,2.0,Ask agent
"Earl's Court Square, London","£850,000",Flat,3.0,1.0,Ask agent
"Choumert Road, Peckham Rye, SE15","£850,000",Terraced,2.0,1.0,Ask agent
"Wharf Road, London, N1","£850,000",Flat,3.0,1.0,Ask agent
"Netherhall Gardens, Hampstead, London","£850,000",Apartment,2.0,2.0,Ask agent
"Umfreville Road, London N4 1RY","£850,000",Terraced,3.0,1.0,Ask agent
"St Johns Avenue, London, NW10","£850,000",Semi-Detached,3.0,2.0,Ask agent
"Wimbledon Park Side, London, SW19","£850,000",Flat,3.0,1.0,"1,153 sq ft"
"Hill House Close, Church Hill, London, N21","£850,000",Town House,4.0,,"1,660 sq ft"
"Worple Road, West Wimbledon","£850,000",Semi-Detached,4.0,2.0,Ask agent
"East Smithfield, London, E1W","£850,000",Apartment,1.0,1.0,700 sq ft
"Lowther Hill, Honor Oak","£850,000",House,4.0,1.0,Ask agent
"251 Southwark Bridge Road, London Bridge, London, SE1","£850,000",Flat,2.0,2.0,771 sq ft
"Blackfriars Road, Blackfriars, London, SE1","£850,000",Flat,1.0,1.0,608 sq ft
"Gosport Road, Walthamstow","£850,000",Terraced,5.0,1.0,"1,098 sq ft"
"Higham House, 102 Carnwath Road, Fulham, SW6","£850,000",Apartment,2.0,2.0,922 sq ft
"Netherwood Road, London, W14","£850,000",Apartment,3.0,2.0,"1,088 sq ft"
"Chepstow Place, Notting Hill, W2","£850,000",Apartment,1.0,1.0,590 sq ft
"St Andrews Wharf, Shad Thames, SE1","£850,000",Apartment,2.0,2.0,Ask agent
"Chapter Road, Willesden Green, London","£850,000",Terraced,4.0,,"1,368 sq ft"
"Rosary Gardens, South Kensington, SW7","£850,000",Ground Flat,1.0,1.0,642 sq ft
"Horn Lane, London, W3","£850,000",Terraced,5.0,2.0,Ask agent
"Boydell Court, St John's Wood Park, London, NW8","£850,000",Apartment,2.0,1.0,983 sq ft
"Gowan Avenue, London","£850,000",Flat,2.0,2.0,"1,028 sq ft"
"Henryson Road, Brockley","£850,000",House,4.0,2.0,Ask agent
"Lascotts Road, Wood Green, London, N22","£850,000",Terraced,6.0,3.0,Ask agent
"Bertal Road, London","£850,000",Terraced,3.0,2.0,Ask agent
"Wynan Road, Canary Wharf, E14","£850,000",End of Terrace,4.0,2.0,"1,210 sq ft"
"Old Street, 
Clerkenwell, EC1V","£850,000",Flat,2.0,2.0,Ask agent
"Gledhow Gardens, Kensington","£850,000",Apartment,1.0,1.0,Ask agent
"Gloucester Place, London, NW1","£850,000",Apartment,2.0,2.0,714 sq ft
"Cator Street, London","£850,000",Terraced,3.0,1.0,Ask agent
"Shore Place, London","£850,000",Apartment,3.0,2.0,885 sq ft
"Ellerdale Street, Ladywell","£850,000",End of Terrace,4.0,2.0,Ask agent
"Kent House Road, London, SE26","£850,000",Terraced,4.0,1.0,Ask agent
"Lyham Road, London, SW2","£850,000",Terraced,2.0,2.0,"1,000 sq ft"
"THE PENTHOUSE, HIGH ROAD, Whetstone, London","£850,000",Penthouse,2.0,2.0,Ask agent
"Chelsea Botanica, Chelsea Harbour, SW6","£850,000",Flat,2.0,2.0,777 sq ft
"Walworth Road, Elephant and Castle, London, SE1","£850,000",Flat,3.0,2.0,"1,010 sq ft"
"Fulmer Way, West Ealing","£850,000",Terraced,3.0,1.0,Ask agent
"Beaufort Street, London, SW3","£850,000",Apartment,2.0,1.0,532 sq ft
"Brecknock Road, Tufnell Park","£850,000",Flat,3.0,2.0,Ask agent
"Moore House, Grosvenor Waterside, London SW1W","£850,000",Flat,1.0,1.0,526 sq ft
"Irving Mews, London, N1","£850,000",Flat,2.0,1.0,"1,055 sq ft"
"Rowfant Road, Balham","£850,000",Flat,3.0,2.0,Ask agent
"Beechcroft Road, London, SW17","£850,000",Apartment,2.0,1.0,Ask agent
"Warwick Chambers, Pater Street, London, W8","£850,000",Flat,2.0,1.0,Ask agent
"Southmere House, Highland Street, London, E15","£850,000",Apartment,3.0,2.0,Ask agent
"Carrara Tower, Bollinder Place, London EC1V","£850,000",Apartment,1.0,1.0,660 sq ft
"Elm Park Road, London","£850,000",Terraced,5.0,3.0,Ask agent
"Wellington Mews, East Dulwich, London, SE22","£850,000",Semi-Detached,3.0,1.0,Ask agent
"Camden Road, London, NW1","£850,000",Apartment,2.0,2.0,Ask agent
203 Marsh Wall London E14,"£850,000",Flat,2.0,2.0,Ask agent
"Chevening Road, Queens Park, NW6","£850,000",Flat,2.0,1.0,Ask agent
"Moffat Road, Palmers Green, N13","£850,000",House,3.0,1.0,Ask agent
Sheldon Square London W2,"£850,000",Apartment,3.0,2.0,Ask agent
"St. Stephens Gardens, London, W2","£850,000",Apartment,2.0,2.0,712 sq ft
"Kings Road, Leytonstone","£850,000",House,4.0,2.0,"1,491 sq ft"
"Battersea Rise, Between the Commons, London, SW11","£850,000",Maisonette,3.0,1.0,953 sq ft
"Boat Race House, Mortlake, London, SW14","£850,000",Flat,2.0,2.0,Ask agent
"Upper Brook Street, Mayfair","£850,000",Flat,,1.0,323 sq ft
"Aislibie Road, Lee","£850,000",End of Terrace,4.0,2.0,Ask agent
"Bayham Street, Camden Town, LONDON, NW1","£850,000",Flat,2.0,1.0,966 sq ft
"Normanby Road, London, NW10","£850,000",Terraced,3.0,2.0,Ask agent
"Vaughan Way, Wapping, E1W","£850,000",Apartment,1.0,1.0,587 sq ft
"Station Road, London","£850,000",Semi-Detached,3.0,1.0,Ask agent
"Drayton Gardens, Chelsea, London, SW10","£850,000",Flat,1.0,1.0,710 sq ft
"Viaduct Gardens, London","£850,000",Apartment,1.0,1.0,Ask agent
"Emery Way, London, E1W","£850,000",Apartment,1.0,1.0,Ask agent
"Halstead Road, Wanstead, E11","£850,000",Semi-Detached,2.0,1.0,860 sq ft
"Kimberley Avenue, Nunhead, SE15","£850,000",Terraced,3.0,1.0,Ask agent
"Chaplin Road, London","£850,000",Terraced,4.0,3.0,"1,226 sq ft"
"Gladstone Court, Regency Street, Westminster, London, SW1P","£850,000",Flat,2.0,2.0,696 sq ft
"Carrara Tower, 
1 Bollinder Place, EC1V","£850,000",Flat,2.0,1.0,Ask agent
"Globe Wharf, 205 Rotherhithe Street, London, SE16","£850,000",Apartment,3.0,3.0,"1,446 sq ft"
"Castellain Road, Maida Vale","£850,000",Flat,2.0,1.0,Ask agent
"Rambler Building, Copehagen Street, London, N1","£850,000",Apartment,4.0,3.0,Ask agent
"Elsham Road, Holland Park, London, W14","£850,000",Flat,2.0,2.0,778 sq ft
"Flask Walk, Hampstead, London, NW3","£850,000",Flat,1.0,1.0,573 sq ft
"Hertford Road, London, N1","£850,000",Flat,3.0,1.0,Ask agent
"Battersea Rise, Battersea, SW11","£850,000",Flat,3.0,2.0,Ask agent
"Beauclerc Road, Hammersmith","£850,000",Flat,2.0,1.0,Ask agent
"Legacy Building, 
1 Viaduct Gardens, SW11","£850,000",Flat,1.0,1.0,637 sq ft
"Amott Road, Peckham","£850,000",Terraced,3.0,2.0,Ask agent
"Salisbury Place, Oval, London, SW9","£850,000",Terraced,4.0,3.0,"1,307 sq ft"
"Colchester Road, Leyton","£850,000",Terraced,4.0,3.0,Ask agent
"Segrave Walk, London, W2","£850,000",Apartment,1.0,1.0,560 sq ft
"Great North Way, Hendon, NW4","£850,000",Detached,3.0,4.0,"2,218 sq ft"
"Canalside Square, 
Islington, N1","£850,000",Flat,2.0,1.0,Ask agent
"Solon Road, London, SW2","£850,000",Terraced,4.0,2.0,Ask agent
"Knaresborough Drive, Earlsfield","£850,000",Flat,3.0,1.0,Ask agent
"Long Lane, London, SE1","£850,000",Apartment,2.0,2.0,Ask agent
"Liner House, Royal Wharf Walk, E16","£850,000",Apartment,3.0,2.0,Ask agent
"Westferry Road, Canary Wharf","£850,000",Flat,3.0,2.0,Ask agent
"Balmoral Road, Leyton","£850,000",House,4.0,2.0,"1,288 sq ft"
"Kingwood House, Goodman's Field","£850,000",Apartment,2.0,2.0,931 sq ft
"Bycullah Road, London, EN2","£850,000",Apartment,3.0,2.0,"1,636 sq ft"
"Royal Circus, West Norwood, SE27","£850,000",Terraced,4.0,3.0,Ask agent
"Douglas Tower, Goodluck Hope E14","£850,000",Apartment,2.0,2.0,"1,018 sq ft"
"Skylark Point  Woodberry Down, London N4","£850,000",Apartment,2.0,2.0,Ask agent
"Willowbrook House, Coster Avenue, N4","£850,000",Apartment,2.0,2.0,Ask agent
"Swaffield Road, SW18","£850,000",House,3.0,1.0,"1,092 sq ft"
"Windmill Road, London","£850,000",End of Terrace,3.0,2.0,Ask agent
"Viaduct Gardens, London, SW11","£850,000",Flat,1.0,1.0,637 sq ft
"Chobham Road, Stratford, London, E15","£850,000",Terraced,4.0,2.0,"1,256 sq ft"
"Jonathan Street, Kennington","£850,000",Flat,2.0,2.0,786 sq ft
"High Holborn, Holborn, London, WC1V","£850,000",Flat,2.0,2.0,843 sq ft
"Stowe Road, Shepherds Bush","£850,000",Maisonette,2.0,1.0,Ask agent
"Walworth Road, Elephant and Castle, London, SE1","£850,000",Flat,3.0,2.0,"1,050 sq ft"
"Limerston Street, LONDON, SW10","£850,000",Flat,3.0,1.0,747 sq ft
"Hill Farm Road, London, W10 6DN","£850,000",Maisonette,3.0,1.0,Ask agent
"James Cook Building, Royal Warf, London, E16","£850,000",Apartment,3.0,2.0,Ask agent
"Wandsworth Common Westside, London, SW18","£850,000",Maisonette,4.0,2.0,"1,214 sq ft"
"Sophora House, London, SW11","£850,000",Apartment,1.0,1.0,Ask agent
"Kidbrooke Village, Kidbrooke, SE3","£850,000",Terraced,3.0,3.0,"1,372 sq ft"
"Philbeach Gardens, London, SW5","£850,000",Apartment,2.0,2.0,673 sq ft
"Flat 2, Barrowgate Road, Chiswick, London, W4","£850,000",Apartment,2.0,2.0,Ask agent
"Bulstrode Street, London","£850,000",Flat,2.0,2.0,Ask agent
"Grove End Gardens, St Johns Wood, NW8","£850,000",Flat,2.0,1.0,681 sq ft
"Balmoral House, One Tower Bridge, SE1","£850,000",Flat,1.0,1.0,540 sq ft
"Cavendish Road, London, SW12","£850,000",Maisonette,2.0,1.0,989 sq ft
"Sky Gardens, Nine Elms, SW8","£850,000",Apartment,2.0,2.0,Ask agent
"The Cooper Building, Wharf Road, London, N1","£850,000",Apartment,2.0,2.0,722 sq ft
"St Gabriel Walk, Elephant and Castle, London, SE1","£850,000",Flat,2.0,2.0,876 sq ft
"Basin Approach, Limehouse, London, E14","£850,000",Apartment,3.0,3.0,"1,334 sq ft"
"Stourcliffe Close, Stourcliffe Street","£850,000",Apartment,3.0,2.0,"1,055 sq ft"
"Parkhill Road, Hampstead","£850,000",Flat,3.0,1.0,Ask agent
"Walworth Road, London, SE17","£850,000",Flat,2.0,2.0,775 sq ft
"Matlock Court, 46 Kensington Park Road, London","£850,000",Flat,1.0,1.0,611 sq ft
"Horseferry Road, Westminster, London, SW1P","£850,000",Flat,1.0,1.0,566 sq ft
"Church Lane, Crouch End","£850,000",Flat,3.0,1.0,Ask agent
"Sunnyside Road, London","£850,000",House,4.0,3.0,"1,023 sq ft"
"Paddington Basin, London, W2","£850,000",Flat,2.0,2.0,588 sq ft
"Philbeach Gardens, London","£850,000",Ground Flat,2.0,1.0,Ask agent
"Cheltenham Gardens, East Ham, E6","£850,000",Semi-Detached,5.0,,Ask agent
"Finborough Road, London, SW10","£850,000",Flat,2.0,2.0,825 sq ft
"Leathwaite Road, SW11","£850,000",Apartment,2.0,1.0,950 sq ft
"Dutton Street, London, SE10","£850,000",Terraced,2.0,1.0,978 sq ft
"Arragon Gardens, London, SW16","£850,000",Semi-Detached,4.0,2.0,"1,484 sq ft"
"Gloucester Road, Acton","£850,000",Terraced,3.0,1.0,Ask agent
Pollards Hill North,"£850,000",House,4.0,2.0,"1,939 sq ft"
"Holly Lodge, 90 Wimbledon Hill Road, London, SW19","£850,000",Apartment,2.0,2.0,"1,100 sq ft"
"Clarendon Court, 
33 Maida Vale, W9","£850,000",Flat,2.0,2.0,900 sq ft
"Devonshire Street, Marylebone, London, W1W","£850,000",Flat,1.0,1.0,469 sq ft
"Chatsworth Avenue, London","£850,000",Semi-Detached,3.0,2.0,Ask agent
"Philbeach Gardens, Earls Court, London, SW5","£850,000",Flat,2.0,1.0,634 sq ft
